date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:16	296982/296982	---M--	200	added ('OK')	image/jpeg	etag:%2248816-57d884dde6cc0%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/ganador2.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/ganador2.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:20	117159/117159	---M--	200	added ('OK')	image/jpeg	etag:%221c9a7-57d885e7fa080%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos8.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos8.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:33	106456/106456	---M--	200	added ('OK')	image/jpeg	etag:%2219fd8-57d8863168dc0%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos14.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos14.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:34	115556/115556	---M--	200	added ('OK')	image/jpeg	etag:%221c364-57d885f183700%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos9.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos9.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:36	35170/35170	---MC-	302	error ('Found')	text/html	date:Sun,%2026%20Apr%202020%2023:16:36%20GMT	http://www.cacpebiblian.fin.ec/reportes/index.php	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/reportes/index.12d.delayed	(from http://www.cacpebiblian.fin.ec/index.html)
18:16:36	119359/119359	---M--	200	added ('OK')	image/jpeg	etag:%221d23f-57d88601b9d40%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos10.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos10.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:37	100432/100432	---M--	200	added ('OK')	image/jpeg	etag:%2218850-57d8861d61e80%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos12.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos12.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:37	13164/13164	---M--	200	added ('OK')	text/html	etag:%22336c-587242ad926c0%22	http://www.cacpebiblian.fin.ec/transparencia.html	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/transparencia.html	(from http://www.cacpebiblian.fin.ec/sucursales.html)
18:16:45	49355/49355	---M--	200	added ('OK')	image/jpeg	etag:%22c0cb-58c53d6f35a00%22	http://www.cacpebiblian.fin.ec/images/bannerSucursales.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/bannerSucursales.jpg	(from http://www.cacpebiblian.fin.ec/sucursales.html)
18:16:55	131325/131325	---M--	200	added ('OK')	image/jpeg	etag:%22200fd-57d88626eb500%22	http://www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos13.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/Sorteo2018/villancicos13.jpg	(from http://www.cacpebiblian.fin.ec/noticias.html?modal=)
18:16:55	61979/61979	---M--	200	added ('OK')	image/jpeg	etag:%22f21b-58c4fb6a31780%22	http://www.cacpebiblian.fin.ec/images/bannerATM.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/bannerATM.jpg	(from http://www.cacpebiblian.fin.ec/cajeros.html)
18:16:56	229/229	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Apr%202020%2023:16:57%20GMT	http://www.cacpebiblian.fin.ec/inscripcion_empredimientos.html	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/inscripcion_empredimientos.133.delayed	(from http://www.cacpebiblian.fin.ec/cajeros.html)
18:19:59	1135304/1135304	---M--	200	added ('OK')	image/jpeg	etag:%221152c8-58de2b73e6c00%22	http://www.cacpebiblian.fin.ec/images/comunicado2.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/comunicado2.jpg	(from http://www.cacpebiblian.fin.ec/cajeros.html)
18:20:23	1285490/1285490	---M--	200	added ('OK')	image/jpeg	etag:%22139d72-599a01a52bbc0%22	http://www.cacpebiblian.fin.ec/images/banners/Web2019/9r%20autos.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/banners/Web2019/9r%20autos.jpg	(from http://www.cacpebiblian.fin.ec/ganadores_sorteo.html)
18:22:13	833222/833222	---M--	200	added ('OK')	image/jpeg	etag:%22cb6c6-5999fded67640%22	http://www.cacpebiblian.fin.ec/images/banners/Web2019/1r1.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/banners/Web2019/1r1.jpg	(from http://www.cacpebiblian.fin.ec/ganadores_sorteo.html)
18:22:35	818441/818441	---M--	200	added ('OK')	image/jpeg	etag:%22c7d09-5999fdde25240%22	http://www.cacpebiblian.fin.ec/images/banners/Web2019/1r2.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/banners/Web2019/1r2.jpg	(from http://www.cacpebiblian.fin.ec/ganadores_sorteo.html)
18:23:51	824835/824835	---M--	200	added ('OK')	image/jpeg	etag:%22c9603-5999fe1b2e240%22	http://www.cacpebiblian.fin.ec/images/banners/Web2019/2r2.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/banners/Web2019/2r2.jpg	(from http://www.cacpebiblian.fin.ec/ganadores_sorteo.html)
18:23:53	873572/873572	---M--	200	added ('OK')	image/jpeg	etag:%22d5464-5999fe2f35180%22	http://www.cacpebiblian.fin.ec/images/banners/Web2019/2r1.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/banners/Web2019/2r1.jpg	(from http://www.cacpebiblian.fin.ec/ganadores_sorteo.html)
18:24:23	802844/802844	---M--	200	added ('OK')	image/jpeg	etag:%22c401c-5999fb7f9bb40%22	http://www.cacpebiblian.fin.ec/images/banners/Web2019/3r1.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/banners/Web2019/3r1.jpg	(from http://www.cacpebiblian.fin.ec/ganadores_sorteo.html)
18:24:48	823315/823315	---M--	200	added ('OK')	image/jpeg	etag:%22c9013-5999fa9318d40%22	http://www.cacpebiblian.fin.ec/images/banners/Web2019/3r2.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/banners/Web2019/3r2.jpg	(from http://www.cacpebiblian.fin.ec/ganadores_sorteo.html)
18:26:06	824734/824734	---M--	200	added ('OK')	image/jpeg	etag:%22c959e-5999fa6bff100%22	http://www.cacpebiblian.fin.ec/images/banners/Web2019/4r2.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/banners/Web2019/4r2.jpg	(from http://www.cacpebiblian.fin.ec/ganadores_sorteo.html)
18:26:07	842741/842741	---M--	200	added ('OK')	image/jpeg	etag:%22cdbf5-5999fa8006040%22	http://www.cacpebiblian.fin.ec/images/banners/Web2019/4r1.jpg	D:/User/PaginasWeb/BancoBiblian/Pagina%20Banco/www.cacpebiblian.fin.ec/images/banners/Web2019/4r1.jpg	(from http://www.cacpebiblian.fin.ec/ganadores_sorteo.html)
